source_id,category,organization,title,url,accessed_utc,claim_supported,authority,limitations
COMP-007,competitor,Cisco,Secure Email Threat Defense,https://www.cisco.com/c/en/us/products/collateral/security/cloud-email-security/secure-email-threat-defense-ds.html,2026-08-16,"Journaling gateway/M365 API deployment verdicts remediation reports and REST APIs",official data sheet,"Commercial pricing not public"
COMP-008,competitor,Palo Alto Networks,Advanced URL Filtering,https://docs.paloaltonetworks.com/advanced-url-filtering,2026-08-16,"Cloud and inline ML URL filtering across firewall/Prisma products",official documentation,"Not a standalone trust API"
COMP-009,competitor,VirusTotal,API v3 overview,https://docs.virustotal.com/reference/overview,2026-08-16,"REST enrichment for URLs files domains IPs with engine context",official API documentation,"Public API is not licensed for commercial workflows"
COMP-010,competitor,VirusTotal,Public versus Premium API,https://docs.virustotal.com/reference/public-vs-premium-api,2026-08-16,"Public API is 4/min 500/day and prohibited for commercial products; premium adds SLA/context",official API documentation,"Premium pricing requires sales"
COMP-011,competitor,Reality Defender,RealAPI,https://www.realitydefender.com/product/realapi,2026-08-16,"API supports image audio video explainability and published self-service tiers",official product page,"Proprietary model details and measured latency are not public"
COMP-012,competitor,Hive,AI-generated media APIs,https://thehive.ai/apis/ai-generated-media,2026-08-16,"Image video audio AI-content detection APIs with confidence outputs",official product documentation,"Calibration and hidden architecture not public"
COMP-013,competitor,Hive,Pricing,https://thehive.ai/pricing,2026-08-16,"Public usage prices for image video-frame and audio AI detection",official pricing,"Higher limits require sales"
COMP-014,competitor,Sensity,API,https://docs.sensity.ai/,2026-08-16,"Async API webhooks image/video/audio tasks and optional explanations",official API documentation,"Offers cloud or on-prem; exact pricing/retention not public"
COMP-015,competitor,Truepic,Lens,https://www.truepic.com/lens-msa,2026-08-16,"C2PA-compliant signing SDK CLI web API and browser display",official agreement/product description,"Authenticity/provenance is complementary to detection"
COMP-016,competitor,KnowBe4,Reporting API,https://developer.knowbe4.com/rest/reporting/,2026-08-16,"REST access to phishing training user and group data on qualifying plans",official API documentation,"Primarily awareness not detection orchestration"
COMP-017,competitor,KnowBe4,SAT pricing/features,https://www.knowbe4.com/products/security-awareness-training/pricing,2026-08-16,"Phishing simulation adaptive training roles reporting and event/webhook APIs",official product page,"Per-user price may depend on quote/term"
STD-001,standard,C2PA,Content Credentials 2.2,https://spec.c2pa.org/specifications/specifications/2.2/specs/C2PA_Specification.html,2026-08-16,"Cryptographically verifiable provenance manifests trust model validation states and bindings",standards body,"C2PA validates provenance assertions not truth"
STD-002,standard,C2PA,Guiding Principles,https://c2pa.org/principles/,2026-08-16,"C2PA should not make good/bad value judgments",standards body,"Must be combined with policy and detection evidence"
HF-CORR-001,model,Hugging Face,Sonje03/phishlens-distilbert,https://huggingface.co/Sonje03/phishlens-distilbert,2026-08-16,"Email-specific English DistilBERT candidate; MIT; no current provider mapping in preserved API response",official Hub model card/API,"Model-card metrics are not VeriTrust qualification"
HF-CORR-002,model,Hugging Face,ealvaradob/bert-finetuned-phishing,https://huggingface.co/ealvaradob/bert-finetuned-phishing,2026-08-16,"Broad URL/email/SMS/web BERT candidate; Apache-2.0; hf-inference mapping",official Hub model card/API,"Dataset provenance and reported metrics require independent verification"
HF-CORR-003,model,Hugging Face,google/siglip2-base-patch16-224,https://huggingface.co/google/siglip2-base-patch16-224,2026-08-16,"Embedding/zero-shot vision base; Apache-2.0; no current provider mapping",official Hub model card/API,"Not phishing truth and not an OOD detector without separate training"
HF-CORR-004,platform,Hugging Face,Custom Inference Handler,https://huggingface.co/docs/inference-endpoints/en/guides/custom_handler,2026-08-16,"Inference Endpoints support custom preprocessing/postprocessing and tasks through handler.py",official documentation,"Operational availability and terms must be rechecked"
HF-CORR-005,platform,Hugging Face,Inference Endpoint advanced setup,https://huggingface.co/docs/inference-endpoints/guides/advanced,2026-08-16,"Endpoint can target a specific repository commit and custom task/container",official documentation,"Account/region/instance availability is external"
CV-CORR-001,model,OpenCV,OpenCV Zoo YuNet,https://github.com/opencv/opencv_zoo/tree/47534e27c9851bb1128ccc0102f1145e27f23f98/models/face_detection_yunet,2026-08-16,"YuNet detector source/artifact emits boxes and five landmarks; model directory declares MIT",official project repository,"Must be copied immutably and qualified inside private HF Endpoint"
